,date,nelder_mead_0_predict,nelder_mead_0_starttime,nelder_mead_13_predict,nelder_mead_13_starttime,naive_method_predict,naive_method_starttime
0,18 / 12,616.1254043839757,10.0,616.1254043839757,10.0,616.1254043839757,10.0
1,27 / 4,361.1665958049887,10.0,331.9948710317459,10.920833333333333,332.24169642857134,10.916666666666666
2,14 / 10,590.3121821531643,10.0,590.3121821531643,10.0,590.3121821531643,10.0
3,29 / 1,371.17416912365684,11.030763888888888,371.1604871079212,11.014166666666666,371.30757890170946,11.0
4,20 / 2,451.7602042534184,10.646666666666667,452.27657046657043,10.636145833333334,452.01776094276084,10.63888888888889
5,12 / 6,660.1254229797977,12.0,659.9051524170271,11.998333333333333,660.609537337662,11.972222222222223
6,2 / 7,515.6490612760256,11.46416015625,515.896569779427,11.507361111111113,515.7216037930324,11.555555555555555
7,11 / 3,383.5529499072357,11.199720594618055,387.9942225829726,12.0,383.5529499072357,11.194444444444445
8,17 / 6,549.560080138116,12.0,549.5600801381158,11.99861111111111,552.9747170686456,11.972222222222223
