"STATION","NAME","DATE","AWND","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT18","WT19","WT22"
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-15",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-16",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-17",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-18",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-20",,"    2",,"0.41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-21",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-22",,,,,,,"0.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-23",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-24",,,,,,,"2.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-25",,,,,,,"0.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1NYWC0003","WHITE PLAINS 3.1 NNW, NY US","2013-05-28",,"    3",,"0.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
